,data_extracao,prefixo,ponto,placa,marca,modelo,data_primeiro_emplac,ano_fabricacao,combustivel,álcool,gasolina,GNV,elétrico
142,2020-03-12 01:58:27.228285,1090,PRAIA DE BELAS SHOPPING,IXJ7320,CHEVROLET,PRISMA,2016-08-09,2016,ÁLCOOL/GASOLINA,1,1,0,0
143,2020-03-12 01:58:27.228285,3704,TRIÂNGULO,IYL4492,VW,VOYAGE,2018-04-05,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
144,2020-03-12 01:58:27.228285,2550,BARRA SHOPPING SUL,IXW8681,TOYOTA,ETIOS SEDAN,2017-06-13,2017,ÁLCOOL/GASOLINA,1,1,0,0
145,2020-03-12 01:58:27.228285,3017,MUCIO TEIXEIRA C/ AURELIANO DE FIGUEIREDO PINTO,IYE4437,VW,SPACEFOX,2017-11-17,2017,ÁLCOOL/GASOLINA,1,1,0,0
146,2020-03-12 01:58:27.228285,2406,AEROPORTO SALGADO FILHO,IWO2406,CHEVROLET,COBALT,2015-03-27,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
147,2020-03-12 01:58:27.228285,3059,RODOVIÁRIA,IZR7E41,VW,VOYAGE,2019-10-23,2019,ÁLCOOL/GASOLINA,1,1,0,0
148,2020-03-12 01:58:27.228285,3580,,IVR7531,VW,VOYAGE,2014-07-11,2014,ÁLCOOL/GASOLINA,1,1,0,0
149,2020-03-12 01:58:27.228285,1384,,IXM6563,CHEVROLET,SPIN,2016-10-19,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
150,2020-03-12 01:58:27.228285,1746,JUSTIÇA FEDERAL,IZM6J12,VW,VOYAGE,2019-08-01,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
151,2020-03-12 01:58:27.228285,4170,,ITC9147,VW,VOYAGE,2012-05-30,2012,ÁLCOOL/GASOLINA,1,1,0,0
152,2020-03-12 01:58:27.228285,4744,TRT PRAIA DE BELAS,IXE2842,CHEVROLET,COBALT,2016-04-05,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
153,2020-03-12 01:58:27.228285,1542,,IWQ2178,CHEVROLET,COBALT,2015-07-01,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
154,2020-03-12 01:58:27.228285,3203,BOURBON ASSIS BRASIL,IZW7D89,TOYOTA,ETIOS,2020-02-07,2020,ÁLCOOL/GASOLINA,1,1,0,0
155,2020-03-12 01:58:27.228285,3809,,IZS4J62,CHEVROLET,COBALT,2019-10-31,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
